,"Taxation statistics 2012–13 Individuals: Selected items, by state/territory and postcode, 2012–13 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139
1581,VIC,3039,8580,5630,8530,566507465,7215,132739846,6505,7880554,125,132875.62,6785,136811994,455,1665512.33,7005,447281074,1440,7012643,150,3174335,180,3870590,460,2332420,250,2365346,115,1625600,125,3729651,5450,12115220,955,555816,2375,17554232,2365,7520619,8545,593149604,2375,6993951,1115,1715315,2945,795405,405,986743,5190,6129186,170,73723,360,808209,295,1330704,3780,1515729,4355,1656701,7160,26076667,145,428121.52,770,14156307,1115,9163248,30,-90539,1475,50088490,620,3538660.02,90,2321397,10,257738,80,585911,445,7308268,645,16506445,855,20053352,610,2225603,540,1272796,505,181954.47,1760,32597184,1435,23289690,760,2266942,1760,14663344,630,5167642,1140,-12790434,1770,-7622792,660,1847831,100,320402,135,2528633,570,1459453,20,11318.45,545,346155.71,3915,1200385,480,198579.66,235,1144479.73,34,537176,631,73620818,665,74259847,640,51336175,44,-70114,654,22524021,695,22464010
1582,VIC,3040,15865,10710,15735,1070442677,13130,261204680,11660,14932896,220,274271.74,12260,268546464,730,2665239.65,12430,769583421,2710,12127514,300,5186266,305,5800758,760,3881553,560,5359971,330,5410336,290,8659478,10330,26752758,1910,1733569,4900,42547701,4890,18224741,15805,1125246309,4430,13338249,1880,2638012,5510,1456857,675,1483585,9070,10803538,430,206741,755,2296568,580,2392106,7005,3781827,7745,3115809,13095,50677346,445,1270614.58,1250,22598769,2155,19407839,60,103017,3315,143414797,1330,13296281,130,3148550,15,401964,135,1268921,920,22844168,1335,58183454,1740,36831992,1225,2954479,1150,1575573,1040,376708.08,3100,59329173,2400,38326555,1355,4414349,3120,26471979,1235,11207151,1905,-21090861,3140,-9883710,1260,1396953,240,656241,320,5890159,985,3090189,25,12393.53,910,593174.23,7340,2281174.06,1015,423048.56,445,2012921.12,52,1133332,1132,132820693,1175,133478931,1160,90970366,80,-325205,1162,42499740,1225,41891545
1583,VIC,3041,7235,5015,7190,440130565,5945,98516502,5345,6132654,100,114536.08,5510,100976660,245,866882.36,5600,337083749,1280,5625169,145,2777757,150,2498680,350,1632967,330,2964965,150,2110582,150,3933708,4575,10888219,925,456706,2360,16860373,2355,7223125,7215,461502780,2080,6192938,870,1229855,2620,685859,260,441382,4210,5100923,135,65901,365,638754,275,710628,3300,1106938,3715,1350044,5985,20551774,200,523689.43,535,9425184,1015,8259882,20,128777,1460,40699729,590,2844682.48,55,1405554,10,201503,55,656691,430,6310501,620,15460850,775,13765559,585,1467322,545,433326,495,132793,1440,26169092,1140,17321133,595,1741461,1445,11734573,555,5138518,900,-9766593,1455,-4628075,555,619644,115,492530,115,1832348,435,1100964,0,5675.6,495,320546,3380,1055255,530,214133.2,230,1004072.14,15,283932,546,48767752,560,48690425,535,32473184,31,-188143,565,16284366,595,16087751
1584,VIC,3042,8645,4975,8610,439683179,7105,84891245,6295,5991850,90,113774.03,6515,87130122,330,1108137.04,6975,378281977,1660,6430805,150,2012574,200,2374070,490,2461261,525,5096776,95,927847,120,2505198,5140,9283563,735,240169,1960,6099430,1950,2611376,8620,462244832,2790,8110635,1045,1443579,4055,1130994,345,559530,5355,6130750,170,76125,310,338116,135,389100,3955,896375,4840,1214137,7220,22099262,135,277330.5,530,8762180,905,6124628,15,23425,1155,25010381,440,1682947.29,65,1535135,10,73079,100,694100,310,3616317,450,7910863,640,12356763,445,648239,375,237091,330,90081.76,1435,23712995,1175,15516668,620,1736451,1445,10074166,520,5061588,935,-8675878,1455,-3614290,460,580077,115,220003,70,939279,430,831429,10,6743,505,296818.45,4560,1413982.76,625,266224.06,265,916435.53,23,217243,707,46460332,725,46613901,695,33787676,32,-72687,725,12579428,750,12462595
1585,VIC,3043,10015,4645,9965,473304529,8235,85169790,7235,6350599,120,144261.32,7555,87016066,350,1149724.53,8260,412015627,1965,6340823,225,3316584,240,2821162,745,3742306,630,5884100,95,868059,130,3417705,5525,8946938,715,205776,1930,6649454,1925,2848160,9975,497213068,3230,8629794,1165,1592837,5440,1588776,380,590755,6340,6783820,170,53492,325,273536,145,292937,4705,1087200,5830,1276585,8430,23647947,150,342333.55,490,7615471,900,5837122,15,72370,1000,24937962,345,860511.39,65,1267487,10,34895,80,676829,250,2322986,370,6284193,610,8376372,410,471304,350,228559,305,27210.45,1515,22951386,1255,15767624,615,1787569,1510,10514381,500,3436059,1020,-8554247,1520,-5118188,510,451336,80,160936,60,693254,445,762423,10,6908,555,290892.88,5830,1817547.46,890,382343.12,310,927286.69,15,230612,742,44152810,755,44383422,740,31791343,22,11399,757,12161966,775,12173365
1586,VIC,3044,13855,7920,13795,737195064,11480,146969657,10150,10043447,155,158177.72,10590,151179332,650,2375155.94,11320,623834326,2460,9079867,250,4118985,260,4773510,840,4462168,610,5612134,140,1721925,215,4778463,8475,16159353,1220,712111,3255,14996796,3245,6420657,13810,771178462,4120,11439084,1685,1805482,5685,1574402,640,1085616,8345,9289519,275,122618,550,726603,290,1046159,5985,1791846,7200,2064895,11455,33574052,215,478031.48,1060,18785854,1405,8854750,20,62426,1940,40903226,750,1303281,105,1956368,15,211125,140,912060,515,5906829,740,15364516,1035,17054958,775,1171967,695,474084,665,113348.85,2540,43931205,2030,26687676,940,2516748,2560,18881223,1030,9691407,1545,-13845849,2575,-4154442,845,1118948,155,338104,110,1329319,700,1265479,20,10115,835,538474.72,7190,2241620.11,780,336286,355,1394226.7,42,585680,1202,73682852,1240,74031239,1170,51777089,53,34457,1224,21606225,1270,21640682
1587,VIC,3046,16095,6450,16010,724188611,12860,126192283,10840,9359513,190,203293.86,11770,129715508,570,1956957.83,12960,633875874,2825,10109074,260,3343502,290,2105075,1180,6415089,845,8194726,95,1004353,215,4863644,8515,13632955,1050,356531,2730,8491618,2720,3637682,16015,757239932,4380,11498751,1665,1917868,7820,2233594,670,1389095,9150,9077823,255,104151,475,342679,210,680356,6275,1585097,8410,1859508,12850,32751151,190,412492.82,880,15589618,1275,7376620,20,-247241,1510,27906363,545,866086.84,150,2562298,0,78501,150,1799111,385,3797746,555,8726112,800,10455832,630,1481348,535,512595,485,147699,2200,34546819,1805,23649488,775,2192095,2210,14850000,795,6392861,1430,-12537625,2230,-6144764,760,1274053,140,333467,90,943953,610,1067977,20,10804,745,451345.45,9155,2909645.2,905,384733.78,400,628037.1,32,337436,1588,84997936,1615,85312145,1495,57751734,38,85046,1624,25645432,1660,25708556
1588,VIC,3047,6790,1085,6760,251052821,5260,35611368,4100,2940843,25,27052.13,4680,35851320,160,520122.45,5430,216145493,1110,3040633,120,1124887,125,904674,1080,6609407,375,3958876,35,303831,45,981590,2465,2563688,185,58004,465,1142480,465,487599,6765,262340149,1615,3807559,525,669414,3740,1137148,250,501203,3600,3203493,60,15179,115,41937,30,48437,2355,735348,3505,657718,5120,11232959,55,87119.01,215,4279139,335,1430483,10,-36068,415,7904338,95,64616.41,70,1039474,0,90337,45,450768,70,838379,90,1784885,125,1452529,100,131662,80,74299,75,18743.89,590,7741709,510,6121325,170,421628,595,3393233,205,1144746,395,-3339223,600,-2194477,290,479388,45,135200,10,113601,200,298400,0,2954,190,92011.85,4285,1445817.73,440,192170.66,150,330719,16,341224,914,46004299,930,46156309,845,31008367,17,-22622,917,15008859,935,14947208
1589,VIC,3048,6400,930,6355,238921799,4965,34234954,4015,2885547.96,45,54405.67,4455,34738487,195,607057.79,5100,207853483,1020,2722953,110,915472,125,890864,1040,5880814,280,2531115,25,137839,25,447584,2065,1732021,150,70540,405,962230,405,412177,6360,249693165,1555,3774016,425,588086,3600,1094110,225,385000,3505,3051897,80,24475,85,28228,15,34574,2400,636343,3475,612621,4865,10706843,25,28502.77,175,3153174,305,1262399,0,23633,375,7286275,65,226453.93,55,864884,0,9107,45,528616,60,454539,75,1502679,105,2099561,60,266512,50,60464,45,36035,640,8853190,580,6931286,185,565092,635,3783045,195,1064263,450,-3490825,650,-2426562,240,578284,45,63484,10,138621,180,331070,0,3415,155,93525.86,4100,1355038.13,350,148555.15,135,305796,9,113467,860,49515462,870,49489747,830,33496175,11,64537,864,15931331,875,15995868
1590,VIC,3049,5255,2500,5230,255208008,4370,46574596,3920,3481247.63,50,61907.56,4040,47999337,175,605065.25,4465,227586286,1155,4409114,115,1594479,145,1400103,365,1837113,225,2110662,60,537198,50,1097242,2935,3795884,350,167084,955,2239275,950,958983,5235,268326439,1765,4903734,580,779925,2900,816417,205,301269,3500,3752365,105,41393,175,207590,55,166026,2470,474210,3010,673589,4435,12971227,75,128329.56,305,5113838,540,3361392,0,-36029,545,12283563,165,728068.99,40,913578,0,0,55,1052845,150,1605703,210,4064897,295,6347158,165,432905,145,69340,125,10030.34,840,12158526,740,9082987,410,1055870,850,5826486,245,1539536,610,-5346353,855,-3806817,280,318079,55,212732,30,328310,275,515003,0,3427,290,167717.29,3065,945715.9,465,198730.3,180,343189.86,7,355006,391,25135691,395,25451280,395,18224969,10,19865,400,6660408,410,6680273
1591,VIC,3050,65,40,65,3638254,50,810874.09,45,48679.73,0,0,50,810419.88,0,18969,50,2962979,15,59778,0,17394,0,0,0,14093,0,2385,0,15454,0,0,40,77547,0,1321,15,15899,15,6777,65,3854150,15,72987,15,40981,20,5568,0,2361,40,67868,0,93,0,177,0,483,25,13753,25,8468,50,215896,0,978.86,10,227312,0,32944,0,-20465,10,319488,0,8647.34,0,1879,0,0,0,3884,0,959,0,2062,0,57969,0,33,0,33,0,3.25,15,225218,10,104817,0,50,15,93567,10,47702,0,-20918,15,26784,0,20655,0,0,0,0,0,3157,0,0,0,876,35,10203.41,0,1405.1,0,34886,0,0,8,314127,10,314127,10,106514,0,0,8,207613,10,207613
1592,VIC,3051,7200,3455,7150,388760175,5570,83299388,4835,5180515,140,143762.25,5200,85795914,565,2323599.09,6125,318088290,1060,3968699,110,1339615,100,1628378,795,4754977,140,1346245,55,978792,55,2006549,4265,7846692,470,362701,1245,8244706,1240,3533633,7165,406710468,1255,2972070,1025,1365865,2140,551392,485,1608650,3795,5122002,145,71998,210,297528,145,706228,2400,1485277,2845,1060613,5445,17487618,75,269233.73,665,13448811,610,4569105,20,-196861,685,15770978,270,1084148,90,1763892,10,19495,105,858919,230,10488930,365,23017175,445,11209152,370,1929249,320,763045,305,329272.32,995,20439718,785,12610793,405,1241611,995,8781537,395,3947042,605,-6141265,1000,-2194223,380,352268,105,241013,70,1439761,280,693231,10,5763,245,133820,3470,1097008.73,265,110740.13,150,628067.91,36,368383,819,57538067,855,58000536,810,36052243,40,-207102,834,21631584,870,21502447
1593,VIC,3052,2935,1690,2915,182179157,2235,44058016,1965,2479154.71,40,36918.17,2065,45229455,230,904472.8,2450,134849589,440,1489563,45,549083,45,817617,310,1807439,50,503050,30,494405,45,1521664,2020,5524989,320,287189,720,6874163,720,2940809,2920,191837213,520,1229746,395,845697,755,188294,190,486626,1455,2162550,50,22510,125,414455,85,451586,1050,941669,1115,665164,2165,8861846,55,165799.72,305,6917231,285,2538761,10,-163245,425,15059008,205,1481870.14,40,578714,10,152733,40,419384,135,1943024,220,8300127,285,9332937,265,1678089,240,785644,205,189884.9,435,9007445,310,4977821,165,638380,435,4096626,205,2048278,230,-2753660,440,-705382,200,429146,55,95253,50,922760,145,497213,0,1893,125,108843.41,1320,417362.51,135,54785.2,55,269663.18,15,436365,256,31564869,270,32001234,245,18439861,18,-35882,262,13178525,280,13142643
1594,VIC,3053,6665,3105,6605,348793126,4905,76234736,4145,4524124,115,125691.34,4580,78339041,450,1900028.16,5530,271582687,860,3047186,75,780809,85,2482358,675,3974659,95,974573,50,777459,55,1458612,4075,7953895,415,650061,1095,9864976,1085,4225787,6620,365135438,925,2195570,830,1139761,1715,454846,375,1181531,3150,3942546,85,25621,205,531055,120,488418,1905,1689550,2320,989682,4745,15698058,75,213335.59,500,10341175,555,5307193,15,-390658,725,27273247,295,1798843.09,85,1357075,0,49133,95,676520,225,3872036,335,10574516,425,8818395,360,2066489,310,655729,285,534754.14,795,18420279,605,11495613,305,1083002,795,7500093,345,3739322,450,-5397751,795,-1658429,365,369451,65,138517,95,1973328,265,920803,10,5426,215,134157.31,3160,1003950.4,230,95542.2,110,297284.51,33,544441,670,62864185,700,63531591,665,41746386,38,188964,691,21247325,725,21342404
1595,VIC,3054,5605,3520,5585,384079742,4590,95014622,4170,5383187,110,125692.11,4290,97616902,500,1982474.21,4540,279553342,765,3248390,90,1384961,90,2117903,520,2906850,155,1349829,70,906272,75,3100437,3755,10367292,600,693459,1545,13977577,1535,5987981,5590,405464767,1065,2815672,820,1303335,1330,342691,285,840624,3040,4400929,105,35993,220,787147,220,1413978,2205,4813613,2565,1267666,4525,21007581,115,371236.26,515,10724940,625,5897183,30,-721355,865,35755501,385,3669926.69,55,974590,0,574261,90,935882,290,5253401,440,13699678,570,16109348,470,4784230,415,3060973,400,663016,875,21421600,625,11538912,310,1002677,870,9029344,430,5362802,450,-5512135,880,-149333,430,672536,110,809964,105,2100966,305,856405,15,8078,295,186875.02,2595,806125.38,280,112065.84,125,449336.99,29,889376,690,78583108,715,79472484,665,49990664,42,-1022444,705,29043549,740,28021105
1596,VIC,3055,7965,4055,7925,425064304,6610,85223005,5880,5796171,135,152711,6220,88230472,535,1963678.79,6895,367366326,1340,4512075,145,1871934,145,1650796,760,4203658,210,1847922,80,1206626,65,1251673,4895,8142730,585,593127,1550,7893844,1540,3380291,7930,443426981,2010,4852163,1095,1172474,2950,762876,375,793762,4745,5378923,135,58606,265,312275,155,905837,3250,1289353,3750,946534,6510,18073273,95,223656.07,715,14011709,805,5588550,15,-146356,835,16338482,365,839049.77,105,1635166,0,345029,110,698694,255,3031171,390,7131380,510,7790996,405,2185031,355,1207965,325,254981.48,1070,19566014,850,11506757,370,918223,1080,8733910,445,4071792,640,-5664668,1085,-1592876,425,428383,105,151769,60,797652,320,763713,15,8010,410,261068.87,4300,1348343.25,390,163260,200,330830.44,32,731132,762,40329149,805,41001056,755,25898076,41,-351074,782,15098662,835,14717487
1597,VIC,3056,14965,7315,14905,796890885,12230,160225986,10980,10850410,285,337214.05,11520,166066784,1385,5381661,12955,682386109,2305,7516562,245,3014787,270,2875292,1500,8189794,305,3010515,110,1392431,85,2466246,9165,13399425,990,521450,2615,11519154,2600,4932600,14920,831623366,3255,7850005,2200,2444005,4860,1291075,875,2105463,8780,10056212,230,90234,530,780584,260,913717,5900,3551879,6760,2019464,12015,34269738,135,283787.49,1305,26164621,1315,8643945,40,-28469,1505,33297437,670,2288762.81,235,3799304,10,194790,255,2499556,465,5462552,685,12673385,860,27219986,810,2049656,715,852131,670,310220,2100,38266174,1700,24626598,755,2024021,2105,16310193,810,7517828,1310,-12217768,2125,-4699940,860,1010093,210,552235,120,1903595,635,1238411,30,14634.44,675,399462.79,7890,2484761.71,515,220906.71,360,1123478,80,741318,1762,103653571,1835,104334645,1770,61470785,88,110746,1816,40958964,1895,41081727
1598,VIC,3057,6220,3225,6195,344330398,5155,70446125,4690,4716642.96,160,182378.14,4890,73076694,620,2302430,5355,295329239,880,2959472,95,1192720,95,1321160,565,3217711,115,1196645,45,463575,35,836777,3945,6598644,425,185782,1180,4128131,1175,1767850,6205,358494135,1410,3234614,930,1028813,1985,530026,395,1091727,3675,4243712,85,35341,215,333918,95,293982,2515,1016812,2805,787409,5050,13947843,50,100631.06,505,10341234,570,3990682,0,-3381,695,17320138,295,1357895.03,105,1995456,0,11344,110,899313,185,2937034,280,6243912,415,6538072,340,1101230,290,486148,265,109141.01,910,17369720,725,10711200,310,856616,915,7625522,385,3297659,540,-5121277,920,-1823618,365,757072,75,102950,50,611664,295,675093,20,15081,300,165541,3180,993250.24,200,80359.02,140,603931,29,521214,663,35414922,690,35954626,670,21490947,37,184596,688,13546649,725,13750664
1599,VIC,3058,18445,8755,18365,923573075,15075,175789766,13235,12397169,270,293357.45,14005,181428194,1050,3781157.33,15380,796668396,3060,10261520,350,3905263,350,3564400,1605,9290426,580,5816992,150,1814036,135,2981860,10805,17045846,1170,537192,3275,12152694,3255,5184555,18375,963023861,4620,11461018,2205,2281505,7315,2014696,820,1774262,10895,11796748,310,108846,660,840429,245,776800,7405,2466383,9150,2543790,14980,38975538,180,364713.96,1460,28171079,1585,9896798,30,276429,2045,40082099,710,2029275.86,195,3701120,20,234517,225,2316830,515,7838330,715,16650389,1045,15471682,785,2407941,690,769125,620,389252.48,2845,47297434,2245,28565605,910,2267477,2860,19706148,1175,10820990,1700,-14062786,2875,-3241796,1060,1925322,195,465207,105,1277876,765,1554823,25,10095,940,588936.53,10055,3194883.24,915,392060.45,485,1223995.27,56,468208,1849,106972096,1900,107446387,1800,72955633,69,-275778,1894,33015928,1955,32755910
1600,VIC,3059,7685,4255,7620,408988031,6275,83510321,5665,5641814,95,102917.99,5840,85762923,245,874835.83,6095,316935984,1415,7593632,145,2431727,175,2408646,390,1994248,175,1575934,95,1689944,40,943691,4645,8162307,590,237597,1695,12987065,1685,5564730,7630,429405876,2380,7072977,810,1060157,3720,1078231,245,419237,4675,5110694,130,50708,245,363093,115,443707,3460,837150,4240,1100832,6335,20015414,105,259285.85,405,6649700,805,6574207,40,-166400,1430,44291324,375,2847768.87,40,1178383,0,15913,70,824079,250,5658713,335,11842317,580,11939985,295,965370,280,451408,250,205897.55,1605,27579062,1355,18948894,745,2400023,1610,12014457,525,4614259,1105,-10399054,1630,-5784795,625,1233387,90,293953,105,1566869,470,884830,10,5288,420,275241.38,4120,1327116,530,229476.79,225,897982.55,14,571525,607,59177129,620,59733092,610,44626512,19,108016,616,14150322,630,14345200
1601,VIC,3060,5605,1665,5555,232853898,4355,38719263,3500,2895980.14,60,71842.36,3910,39586177,175,647544,4330,199063150,935,3055431,90,785079,115,1278567,545,3235095,275,2716959,30,323744,50,885096,2730,4325520,250,71404,720,2211386,710,949361,5570,243554240,1430,3814348,450,556404,2675,805822,210,426232,3000,3093638,95,37477,185,35106,30,48108,1910,452325,2900,635440,4285,10537430,40,79789.73,250,4525689,315,1699903,15,207166,475,8768368,125,357705.4,55,1204743,0,239745,50,1088263,95,1970163,140,3954684,210,2849807,160,330856,115,86418,95,24253.79,835,13146481,635,7570293,230,573353,835,5402671,385,3185233,460,-3585069,845,-399836,300,455913,50,222927,25,343313,170,206244,10,7349,200,115548.93,3235,1057955,305,134244.65,130,292478.26,13,145604,684,41748764,695,41785506,620,31793030,13,-253600,691,10020633,700,9767033
1602,VIC,3061,2120,440,2105,81608983,1635,12484650,1290,994492.26,25,28022.3,1440,12768634,35,106558.38,1540,63349537,295,1265804,20,159498,35,163937,295,1806113,115,1203203,15,141845,0,107408,835,1256064,80,77198,210,1202282,210,514648,2110,85162177,500,1253212,130,220686,1035,316131,50,96618,1070,955651,25,5288,40,20191,10,26223,675,133771,1070,249629,1560,3489259,10,23058.49,65,1105420,115,885041,0,-5641,260,6921149,45,406773.89,25,519142,0,0,15,280008,25,594121,40,1188048,65,1801432,40,27402,35,6244,30,739.23,270,4550398,210,2899711,75,293245,270,1663084,120,965587,155,-1271229,275,-305642,135,231855,35,82153,0,58834,70,147161,0,1173,45,23143.09,1275,418092.59,140,60490.1,35,81407.14,7,102986,312,26482174,320,26585160,300,21204850,7,31079,316,5082960,320,5114039
1603,VIC,3062,120,55,120,8836518,100,2271411.85,85,125328.38,0,7723.42,95,2365187.33,0,2318.4,95,4704936,10,21861,0,10608,0,5498,10,26843,0,48871,0,0,0,0,55,149687,10,1007,20,359125,20,153905,120,9112893,25,67710,0,10040,55,15260,0,9573,60,69827,0,688,0,2777,0,35504,35,7393,60,17917,95,272564,0,0,10,134192,10,67266,0,0,30,2837413,15,682373.36,0,21373,0,0,0,269851,0,176,0,352,10,92396,0,4729,0,803,0,63.07,10,380170,0,153788,0,5250,10,75573,0,175673,0,-30114,10,145559,25,5465,0,95,0,30400,0,5475,0,0,0,3770.4,45,15482.66,10,4312.5,0,6975.72,2,73718,10,1304577,10,1378295,10,804323,2,50190,11,288869,15,339059
1604,VIC,3063,380,230,380,21794009,310,4732023.42,275,301070.87,0,1702.11,280,4845233.37,0,17931.72,280,17429067,55,526081,0,163871,0,190247,10,51437,20,214670,0,59154,0,122142,230,655029,45,26156,105,1428095,105,610086,380,22895296,110,357820,35,46897,165,49592,10,17110,220,249678,0,1041,15,78820,0,21239,170,56905,210,80497,310,1047056,10,17574,25,465481,50,406580,0,36800,65,853127,25,57454.45,0,11188,0,330336,10,36685,15,227216,20,510325,35,489683,25,115352,25,22032,25,20670.68,65,1001844,50,585970,30,62557,65,460051,20,303073,50,-409807,70,-106734,25,73897,0,52307,0,44997,20,42458,0,0,20,10115.64,185,56442.4,20,7040.63,0,49104.65,5,89088,30,1112854,35,1201942,35,1360417,6,-371319,31,122971,35,-248348
1605,VIC,3064,29120,7615,28950,1302766047,23950,219705863,21095,17298666,330,381396.7,22410,226866786,800,2551080,25275,1208197157,6050,17525324,525,5262322,615,4576012,2620,13701628,860,7642904,145,1213343,115,2214975,12370,8689078,860,276095,2595,5554732,2585,2379184,28955,1367725401,9325,24275132,2945,4290786,17640,5415574,1130,1871128,18910,18817484,380,143714,505,288226,120,364952,12640,2978436,17120,3335882,24295,64261634,150,229084.91,1425,24626231,1865,8554958,50,-14221,1820,39270242,395,779942.88,255,4027939,0,62163,230,2042628,400,4413035,495,10056831,770,11696285,390,710096,330,209712,300,88717.55,3185,40133921,3005,34934659,1495,3828689,3210,18812410,655,3750454,2590,-21192319,3250,-17441865,1335,1582912,210,677715,60,653011,1295,1792462,45,30384,1165,624340,18125,5705919,1290,564452,810,1975141.13,46,1061368,2653,170282086,2695,170404159,2550,122349564,52,367877,2686,47357056,2735,47652276
1606,VIC,3065,6420,3430,6380,421828013,5355,100658654,4805,5858243,165,214662.73,5025,103922603,530,2266478.37,5380,322940509,845,4640074,110,1828324,130,3650106,650,3756670,150,1618724,50,585286,55,1925703,3855,8163174,525,532644,1365,13362521,1355,5719092,6390,443148383,1225,3356305,990,1669722,1745,475336,360,1311968,3585,5098978,120,49605,230,957566,160,862686,2265,2330923,2890,1894408,5130,20875914,60,209234.41,575,11897713,570,4525226,15,-109316,835,35541214,350,5585795,80,1743438,10,263541,155,1850487,265,5607666,405,13146428,500,11900344,435,2147016,385,767746,355,456351.06,920,20090927,725,12807183,335,1073358,925,8315946,370,4122326,555,-6227886,925,-2105560,450,625595,110,339838,100,1843204,325,982003,15,11302,260,178715.07,3160,1008980.74,230,97330.2,150,584610.97,27,324263,912,75486543,935,75749537,905,48273055,38,-364934,943,26812856,975,26433125
1607,VIC,3066,4060,2005,4040,233393716,3325,49966151,2985,3193323.41,75,88363.35,3135,51737432,355,1362022.33,3445,194242518,595,2888709,60,801361,70,791237,405,2455004,90,992072,30,354055,15,563979,2290,3273069,235,113742,705,4891895,700,2093777,4040,243536892,835,2240347,625,959628,1270,356601,245,712655,2220,3116401,55,20692,110,169540,55,138167,1370,560685,1825,674142,3145,9801901,30,75262.59,290,6040932,345,2558194,0,-14020,425,14382477,150,1054971.5,60,1260511,0,52444,75,463717,115,2243831,170,4580077,250,7448131,190,1569295,170,423872,150,395982.78,550,10249805,460,6748579,215,646738,545,4240853,195,1815568,355,-3201933,550,-1386365,305,244098,60,165976,30,316783,210,515845,10,3981,130,79905.94,2045,652838.16,120,50601.62,85,128040.38,19,409232,548,61132662,565,61313151,545,50810535,24,-253687,563,10580855,585,10214837
1608,VIC,3067,3655,1990,3625,224703189,3020,50937355,2740,3138706.32,75,83461.87,2840,52940042,355,1478762.38,3085,180329000,525,2159268,40,513558,45,1059169,305,1677548,85,848180,25,389736,30,796747,2280,4078417,280,429788,760,7338318,760,3144037,3640,235252040,875,2234705,570,633745,1115,294734,200,503097,2120,2797375,65,22279,145,302045,75,371922,1445,666245,1625,760177,3005,9919119,35,97439.71,290,5959314,340,2765487,10,-31005,455,14712434,200,1712306.02,50,1033942,0,66409,70,544715,145,1961308,220,5241216,265,5704403,205,577053,185,298794,170,68336.22,580,12426208,490,8324071,215,588237,585,4993324,245,2403104,345,-3882528,590,-1479424,280,239370,65,208589,40,717058,210,594196,0,5087,165,86967.01,1795,552037,160,65043.42,65,200854.28,21,466754,415,34284341,430,34751095,420,21355007,21,-19407,433,13060214,450,13040807
1609,VIC,3068,11450,7365,11405,812652511,9625,200064152,8895,11541597,260,321821.44,9120,206682142,1000,3998012.39,9425,627203651,1600,6997896,220,3686679,190,4255743,840,4711680,245,2371103,170,2289044,120,3570259,7530,16740917,1315,1118073,3175,26368936,3165,11291819,11420,850748734,2535,6183753,1790,2717085,2890,759252,690,2154588,6660,9624699,280,126472,440,1129406,415,2096588,4910,3582555,5560,2414426,9490,36946255,200,499792.92,1240,26484383,1495,12710437,30,-211247,1795,62519742,800,4011079.92,170,4172591,20,758503,250,2334136,625,10850663,980,30164559,1140,24004508,1025,5180749,940,2418156,860,1015766.43,1950,40585938,1555,26243258,770,2091170,1965,17529735,825,8335875,1150,-13614100,1975,-5278225,980,857547,210,702213,235,4136497,730,1955393,20,13711,640,366336.27,5195,1610562.16,535,224764.58,295,1070056.27,81,1255484,1587,132506856,1660,133807115,1590,79014675,102,-659381,1627,54571911,1715,52917978
