,"Taxation statistics 2016–17 Individuals: Selected items, by taxable status, state/territory1 and postcode, 2016–17 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152
1780,Non Taxable,VIC,3183,2472,2355,28153252,584,418602.6,6,3811.76,0,0,0,0,0,0,0,0,1450,15603315,1246,1533306,169,630753,6,20039,10,42816,365,2759021,147,1807247,8,29662,11,80581,1340,1418756,157,53495,378,929472,378,397969,2367,30330225,93,147096,59,33759,207,47420,26,95016,307,230379,442,553670,17,4538,24,77607,22,32774,277,304480,436,238481,853,1642047,24,482344,5,100936,40,203915,5,21249,290,2089579,128,146015.54,44,319600,1,1,48,483092,89,517307,0,0,112,1174128,101,2266997,129,751642,105,352771,99,54571.24,183,4012959,115,1818879,60,194038,180,1684876,113,985011,70,-669845,183,315166,24,88336,23,167190,11,311424,34,89512,17,152138,312,18280547,329,18432685,280,17021116,17,95323,320,1268943,337,1364266,0,0,1,530.47,10,185.42,406,106524.64,1145,840,664088,85,22192.37,60,20149.69
1781,Non Taxable,VIC,3184,1794,1728,21979179,492,736184.88,6,18919.48,1,11311.3,0,0,0,0,0,0,989,11038104,841,1317950,139,544144,7,30429,9,18012,243,1902441,174,2134823,8,30291,22,285789,1061,1275171,151,80215,375,997147,375,424520,1741,23882528,71,116017,37,25510,161,35168,17,76385,246,202842,339,455922,10,2283,25,74217,27,97675,214,126710,439,205621,731,1631358,18,441948,6,137128,41,374154,8,-468415,205,1193765,99,166516.75,40,309652,3,4544,53,679000,99,426545,0,0,139,2038466,119,2847616,142,1358035,106,1045785,98,468673.63,197,4901165,127,2427736,67,459884,196,2271987,117,968933,81,-1227375,199,-258442,25,109740,17,153281,15,369407,29,290440,13,86319,317,11283856,330,11370175,288,9560324,16,31295,319,1265529,334,1296824,0,0,4,6103.55,10,162.38,315,81874.41,924,691,515588,89,32573.36,56,20801.71
1782,Non Taxable,VIC,3185,1773,1698,20967478,476,402280.04,4,2209.74,0,0,0,0,0,0,0,0,847,9455309,723,973660.6,115,488203,10,16805,4,9424,193,1397680,200,2165926,11,75163,21,273486,1084,1639474,217,116306,514,1337846,514,572956,1706,22613285,66,128813,34,51017,129,27849,14,43436,203,120986,275,372101,13,2504,36,38336,38,72838,233,149234,411,209198,706,1281342,10,218436,4,76703,27,204912,5,-6944,292,1758664,136,150060.58,22,88180,1,1600,35,566607,115,429863,0,0,161,2509062,146,4049443,153,659998,114,190531,107,74728.9,172,3428657,88,1102661,55,110529,176,1654905,107,991388,69,-430826,176,560562,22,30410,18,42741,13,248481,33,186880,9,132550,207,7462365,215,7594915,191,6138645,9,-41943,217,1057193,225,1015250,0,0,5,6356.59,4,63.76,280,77323.03,1086,804,680711,77,32686.12,62,25734.67
1783,Non Taxable,VIC,3186,3750,3566,40250521,974,997641.22,10,6532.9,0,0,0,0,0,0,1,2812.77,1329,14404428,1032,1376224,227,1092199,8,35460,6,32096,215,1418773,402,4540407,16,139591,65,1022314,2585,5544909,571,555583,1349,5558435,1350,2371735,3612,51984783,114,289135,51,52584,153,37665,21,108059,355,232449,453,719892,33,11669,103,772082,167,728683,582,1105298,982,953582,1622,6237431,25,517614,9,157568,67,932628,13,-578702,820,5736728,418,774498.74,48,364822,6,771722,56,781647,362,5330776,0,0,495,16458458,486,28899535,439,2213237,369,768560,319,132409.75,565,13214859,325,5257712,236,1130158,559,7144035,342,2878210,223,-3195256,567,-317046,59,188060,47,186698,54,1277473,81,649734,20,923573,332,19609703,351,20533276,320,18946986,24,-860618,352,1341664,373,481046,0,0,21,23484.87,14,591.13,566,156769,2793,2092,2028285,227,90162.42,190,96860.23
1784,Non Taxable,VIC,3187,2543,2442,27927974,653,647552.59,10,5509.88,0,0,0,0,0,0,0,0,991,10484805,777,918523.5,163,722761,7,15863,2,1509,181,1318183,319,3545643,15,85700,52,486796,1704,3369513,365,168796,893,2828189,892,1205739,2467,32636694,72,129133,24,25185,152,33487,22,78973,260,130544,358,397322,19,9615,56,135128,71,145334,380,259350,612,359617,1049,2962675,24,449316,6,136519,55,691016,7,-55835,549,3615611,273,443473.73,25,178324,2,3869,44,684750,213,1169490,0,0,288,3496966,267,6152345,300,1219963,256,550913,230,70277.2,323,7093608,182,2963054,132,434069,323,3319332,183,1751897,142,-1374744,326,377153,39,178406,31,70175,26,474683,44,1129729,5,148296,253,13479691,257,13618267,240,12292901,5,30417,260,833655,264,864072,0,0,7,6263,6,291.14,368,103568.05,1828,1310,1222617,118,48041.34,136,67672.66
1785,Non Taxable,VIC,3188,2666,2593,30717848,702,735154.83,11,12100.4,0,0,0,0,0,0,0,0,1151,12335095,936,1240024,185,516307,10,28797,6,11211,217,1443540,330,3744262,26,191590,45,628254,1770,3058833,371,220520,864,2563121,864,1091884,2610,33646108,96,138799,37,36752,181,33840,21,38956,281,164745,401,413092,24,15693,68,172032,83,128549,351,202285,637,256587,1082,2153120,18,352437,5,82954,58,648849,7,-61966,489,2961955,237,243895.26,43,368266,2,10176,47,668135,181,656666,0,0,261,2007272,291,8253325,306,1547649,244,486126,214,227564.12,338,7084094,209,2609522,150,542562,337,3351850,196,1715030,144,-1134870,340,580160,40,255216,22,58369,30,599082,48,314707,14,125439,292,15355177,306,15480616,289,14255193,15,-7845,308,685394,322,677549,0,0,21,26520.49,6,142,406,109379.64,1821,1282,1127904,117,48417.98,141,66248.13
1786,Non Taxable,VIC,3189,912,886,8437595,235,191657.01,2,1838.34,0,0,0,0,0,0,0,0,416,4861205,346,521414.59,74,321239,4,7672,4,9861,87,652178,125,1442575,3,21062,19,215397,542,810291,99,38656,251,598801,250,255591,887,9036959,31,32557,8,3079,96,22576,10,45439,112,66914,161,170565,8,1577,15,57510,23,22748,96,57308,190,57999,346,531386,7,157073,3,92945,7,31053,4,-62654,138,1115834,49,53599.83,17,111525,1,3540,13,203671,42,96238,0,0,63,312978,62,1442755,69,323148,57,73689,52,23122.07,100,1822314,62,810295,42,101461,99,790903,61,415805,39,-296150,100,119655,11,40934,11,65757,8,115207,8,46456,9,498838,96,45026955,105,45525793,97,47501087,9,-69822,98,-2113609,107,-2183431,0,0,3,3298.61,5,170.99,136,35830.38,483,384,299655,40,15391.01,25,8282.01
1787,Non Taxable,VIC,3190,1495,1441,17566610,386,401277.44,6,7071.16,0,0,0,0,0,0,0,0,685,7597848,591,763023.87,102,207394,6,22379,5,21233,146,1054983,202,2564279,3,34183,24,365323,863,1093439,162,62384,424,1055748,424,450218,1449,18581666,63,95566,26,22507,132,24120,17,88830,171,139613,259,370636,9,3735,16,3171,31,31683,184,74566,335,99234,593,739687,10,200901,3,78287,15,69621,2,-81775,211,1204768,109,112368.75,17,91856,0,0,30,390185,99,215136,0,0,122,632325,110,2202591,137,689995,102,150428,93,109261.7,166,3149047,101,1399612,66,219646,167,1431143,93,655568,74,-556922,167,98646,20,85540,17,53335,4,47900,20,99449,5,49736,190,6114217,195,6163953,181,4626030,5,38419,197,1142991,202,1181410,0,0,7,14207.35,8,292.5,239,65304.64,836,607,481920,62,18169.24,46,15317.98
1788,Non Taxable,VIC,3191,1561,1511,17856755,380,405065.44,4,3575.52,0,0,0,0,0,0,0,0,642,7033470,532,695338,94,306191,4,4793,5,35352,98,661179,192,1904052,11,65741,28,350195,1032,1940063,242,98347,573,1819444,573,774624,1519,19430800,53,104173,25,36553,103,24906,11,32817,180,119851,236,318300,13,10239,30,28838,58,100738,200,169165,401,169404,651,1286978,9,196988,6,95267,33,221035,12,-140876,324,1193964,171,266227.19,24,159336,4,82033,28,505091,165,772321,0,0,202,2431522,137,6694776,178,624347,151,334087,136,64232.04,192,3864804,112,1531228,86,216317,193,1899900,114,1027817,82,-810458,196,217359,20,24657,16,26667,15,353408,20,125737,4,148186,156,5863726,159,6011912,146,4847651,5,-28250,163,867029,167,838779,0,0,8,9380.93,5,319.39,203,53217.83,1108,795,698378,86,30601.12,65,33145.14
1789,Non Taxable,VIC,3192,3250,3136,38659063,872,811889.69,5,3988.16,1,734.62,0,0,0,0,0,0,1447,16038705,1255,1619412,244,665429,17,79265,17,20283,291,2105619,559,6216714,15,138647,74,910023,2025,2980904,425,177214,1002,2433385,1001,1045256,3148,40657883,126,177750,45,19622,285,52329,32,92778,409,221173,577,563652,19,5706,53,76841,80,126244,469,225604,804,251446,1352,1553880,38,807151,9,173782,58,264895,13,16654,489,2666269,242,178700.73,40,221994,0,0,58,441595,236,723917,0,0,300,2806646,259,5151416,298,865082,236,217797,224,70406.72,388,6035443,232,2293463,117,379989,379,2754341,222,1682791,168,-1075141,390,607650,35,131035,47,162149,9,180054,47,101815,15,116484,355,11877164,369,11993648,335,10140476,18,-40698,359,1604108,376,1563410,0,0,21,29422.53,7,209.61,452,124579.14,1834,1420,1145279,130,47036.12,99,24548.81
1790,Non Taxable,VIC,3193,3322,3214,38939420,880,930122.59,11,7756.42,0,0,0,0,0,0,1,2372.12,1216,13423020,985,1297707,202,650367,11,68223,3,3350,188,1177126,506,5040704,25,262343,79,956649,2225,4647215,600,523564,1355,5121855,1354,2166980,3236,44398916,108,194963,37,77270,187,42313,21,22087,357,223335,474,559968,30,12242,107,210138,137,290016,541,930046,895,398969,1486,3479320,24,558283,12,253956,98,893495,9,21136,701,3831380,348,399233.48,27,189893,3,13284,57,1163993,265,824173,0,0,397,2820283,430,10597634,416,1944273,318,411887,288,116222.88,420,8862963,244,3485910,163,504721,419,4254024,252,2173659,169,-1555351,422,618308,44,76090,36,54191,36,769361,54,265469,15,477747,286,34087186,297,34564933,283,32672628,17,-66687,296,1204292,309,1137605,0,0,18,19240.34,10,384.28,457,121049.15,2464,1827,1731387,162,70062.4,176,65770.12
1791,Non Taxable,VIC,3194,2061,2016,23745432,567,608937.66,9,10235.18,1,2014.06,0,0,0,0,1,5385.64,912,10130502,768,975272,155,449286,5,4939,5,8262,168,1203797,366,3928808,17,161632,36,416314,1305,1996883,283,93663,699,1667683,698,712096,2022,25403541,86,101336,34,47117,185,44457,20,72045,258,136013,352,400968,13,8679,41,264611,36,38926,287,136643,519,162834,852,1402299,17,314054,4,79204,36,261332,3,204,358,1941225,177,207955.63,26,147787,1,3246,30,565484,148,403629,0,0,194,1262862,173,3548472,221,1050798,161,233137,154,151772.89,232,4599452,141,1626748,86,257964,232,2288941,134,1116679,98,-690880,233,425799,37,88798,19,23313,16,297007,27,87041,9,92547,201,6276469,210,6369016,194,5805671,10,35523,204,-190630,214,-155107,0,0,10,8074.38,6,171.14,293,76957.29,1195,935,812607,67,20164.54,59,17058.93
1792,Non Taxable,VIC,3195,4767,4608,55673330,1157,1208753.03,7,10344.44,1,1835.85,0,0,0,0,1,2342.84,2366,26856551,2004,2470234.88,378,1214135,27,107587,19,33198,454,3179400,677,7332414,40,320002,92,1184029,2885,3593424,562,202074,1426,3509166,1424,1502434,4630,58570569,206,349249,68,31679,476,95134,40,73177,625,344665,881,893904,36,13691,68,92637,78,142439,589,204086,1017,343472,1833,2107986,39,860222,12,254909,85,497958,4,151652,666,2810813,316,257500.41,54,350376,3,46847,74,1051880,306,860283,0,0,397,3021645,315,8732374,400,1541918,291,254427,297,192375.33,535,9611695,373,4438509,230,680054,536,4640519,262,1985573,275,-2132960,538,-147387,47,104057,50,98355,17,277119,38,110648,20,170755,470,24469219,489,24639974,453,21551143,20,31025,481,2111304,500,2142329,0,0,24,33551.93,9,493.69,679,179515.06,2873,2069,1698100,191,67169.81,164,46909.5
1793,Non Taxable,VIC,3196,3156,3061,38201307,841,734558.18,7,2512.68,1,12.91,0,0,0,0,0,0,1594,18172594,1378,1810130.28,253,516769,18,57140,19,42678,430,3213375,540,6328295,19,231884,73,1105021,1838,2087111,312,79803,846,2102416,845,887613,3078,40655194,158,297041,48,21703,386,87137,38,97111,452,296399,649,799391,21,4505,36,170850,34,60365,412,142843,719,195407,1299,1766064,44,985800,16,285590,67,523465,14,-661952,338,1732961,171,159364.25,53,420609,0,0,44,535301,159,499683,0,0,204,1709769,159,3367414,223,578054,172,140813,169,26427.44,302,4725820,217,2315083,105,251798,302,2449639,145,1000758,158,-1291458,305,-290700,32,85234,14,29704,17,154954,44,229748,17,283416,326,15029588,343,15313004,312,12833818,18,85746,333,1962708,351,2048454,0,0,23,28201.65,9,200.84,460,121167.68,1584,1244,988617,88,26713.6,73,17247.96
1794,Non Taxable,VIC,3197,1628,1591,20221768,471,535434.63,6,9316.22,1,1474.73,0,0,0,0,0,0,761,9036462,652,880308,132,432065,14,26070,8,29466,180,1366592,274,2944451,10,88841,31,322235,978,1154752,194,86550,461,1214082,460,518494,1597,21790023,91,160383,26,9763,214,45578,19,34946,244,121321,326,371991,19,5051,23,21294,35,97054,197,45794,403,155494,684,1027968,20,381067,3,39782,26,224314,3,9336,237,1296384,85,82922.01,22,128557,2,30820,16,330124,94,304600,0,0,112,605970,108,2689235,135,706684,92,163180,86,138685.86,203,4042252,141,1498697,90,239049,200,1966384,110,872565,94,-534443,204,338122,23,100057,10,34869,6,68081,20,258257,5,28408,158,9684361,163,9712769,159,8749195,8,-15426,166,751102,173,735676,0,0,7,8370.9,3,45.73,263,74025.98,903,734,588486,63,24250,37,10940.85
1795,Non Taxable,VIC,3198,2097,2022,25899659,584,616302,3,6395.2,1,936.4,0,0,0,0,0,0,1030,11396835,922,1180086,194,417416,10,40279,15,19881,350,2790844,410,5121365,9,46831,45,682581,1081,916164,210,29568,504,1008102,509,428979,2035,27289558,111,207419,42,41705,320,64827,23,32935,322,182009,463,528895,10,3069,22,35987,20,35122,248,111157,464,328688,853,1219746,17,320611,11,225791,40,200427,4,-12447,192,1005363,81,53222.27,30,227663,0,0,42,705709,95,228730,0,0,113,477136,97,1466694,106,397768,79,67150,78,125323.84,176,2419269,122,1038579,75,174183,170,1052512,94,671956,82,-517961,176,153995,13,51148,18,38230,9,109343,21,61717,7,74153,262,11123405,269,11197558,258,9833951,7,40320,269,989991,276,1030311,0,0,15,26994.35,7,148.1,297,82100.14,795,678,511790,64,18439.87,33,4933.38
1796,Non Taxable,VIC,3199,7596,7382,97925346,2197,2372737.33,15,25398,1,1328.27,0,0,0,0,2,6182.68,3689,41288023,3192,4095703.4,647,1332714,36,104736,56,110188,1148,8997964,1490,17731246,47,311907,171,2510794,4329,5190362,754,261277,1992,4876836,1997,2100079,7415,103206435,419,831784,122,105672,1086,225844,94,145063,1093,547472,1621,1855835,44,21566,82,128215,86,115044,1022,448954,1816,486872,3212,3933626,90,1671763,24,384462,146,892315,18,58305,875,4783252,365,356166.14,112,767158,6,16081,120,1659327,359,1459370,0,0,478,5786645,466,8913190,526,3034278,355,387265,328,430894.27,635,9810085,419,4620728,255,694574,629,4995749,328,1959398,310,-2460364,639,-500966,90,246929,71,185839,37,532216,89,209245,35,494219,866,38946428,899,39440647,829,33268386,36,41764,879,4828245,912,4870009,0,0,58,79703.69,22,703.05,1126,294886.89,3329,2747,2240821,193,54652.71,147,32350.05
1797,Non Taxable,VIC,3200,527,504,6905729,172,153810.44,0,0,0,0,0,0,0,0,0,0,291,3053673,260,305766.86,55,43745,1,138,1,1529,174,1543421,93,1404635,3,16421,8,204793,166,110857,19,1611,59,91826,59,39154,504,7163800,26,45822,12,12089,118,30087,7,24004,79,38725,143,150727,3,276,4,2679,2,6776,60,21418,96,22493,205,226201,4,59141,2,24237,7,4233,0,0,29,9672,13,6948.02,7,62499,0,0,6,33630,6,26199,0,0,11,77728,21,146055,15,47602,12,7955,8,7648.14,19,314089,17,190239,3,7665,19,121622,9,38254,10,-43691,19,-5437,1,4925,0,0,1,15615,2,5137,3,5960,36,989338,39,995298,35,669671,3,-5195,36,321511,39,316316,0,0,4,8759.4,0,0,85,21999.93,85,67,43843,10,1636.99,2,567.26
1798,Non Taxable,VIC,3201,2259,2179,28615708,634,497840.63,2,1244.24,0,0,0,0,0,0,0,0,1375,14925859,1215,1406241.96,248,514340,18,39200,11,31136,462,3458194,355,4786655,15,105597,28,429308,1036,558398,80,9714,234,308862,234,131527,2185,29534546,138,188413,48,21153,463,100925,32,76350,402,195654,626,582495,13,2678,20,11998,6,8161,242,54014,431,88958,925,823931,21,384283,11,176712,33,86298,6,-2360,118,852678,42,32008.09,29,203354,2,1336,31,400883,44,184484,0,0,48,439937,46,860317,66,291396,35,70544,39,21146.67,141,1915200,107,1028639,56,113424,142,731536,70,379962,73,-338361,143,41601,24,106389,16,93092,6,30430,22,39374,9,108618,263,11556399,271,11665017,247,9663696,9,10798,264,1534540,272,1545338,0,0,13,16797.63,10,453.95,384,102752.88,632,525,325315,35,11316.01,22,1921.33
1799,Non Taxable,VIC,3202,355,334,3688026,70,57252.49,1,213.05,0,0,0,0,0,0,0,0,177,2078659,146,186887,28,167172,1,2782,1,3474,38,273425,34,357474,2,16450,2,27951,184,151103,27,18060,67,109554,67,46831,336,3989154,19,45555,6,2729,28,5517,3,3863,43,17291,59,74955,6,308,6,6729,1,588,40,13300,64,19032,117,158900,5,82122,0,0,6,23177,3,17474,36,300490,13,12797.01,1,1860,0,0,7,112973,9,22445,0,0,10,46470,17,505068,10,9899,8,5584,9,9636.58,49,848379,40,496385,25,79723,49,435559,17,141094,32,-304382,49,-163288,5,35626,2,12906,1,6597,6,36767,1,27206,50,9917855,51,9945061,51,9585034,1,9501,50,341281,51,350782,0,0,1,934.4,3,73.28,48,12112.25,190,153,105747,11,3924.95,12,4421.63
1800,Non Taxable,VIC,3204,4453,4297,48618605,1054,876057.52,5,5180.64,1,1389.43,0,0,0,0,0,0,2186,23859786,1787,2299743.58,341,764023,17,71693,16,59338,415,2876853,514,6013940,19,121086,71,1119338,2817,4010429,466,172690,1152,2580630,1147,1103673,4313,51597015,158,270661,50,37313,372,78548,55,146052,519,318359,733,850933,17,5590,74,121875,69,189170,501,217657,881,328175,1642,2396637,47,988405,4,100234,77,601382,9,15709,592,3236270,264,258012.25,66,416560,3,141624,63,1239472,256,1205238,0,0,335,2991802,322,8296264,335,1081764,259,267848,242,80592.55,539,10563269,367,5320297,224,707120,541,4868401,274,2247803,270,-2580352,545,-332549,77,656684,39,125379,32,499122,59,168334,24,249385,452,23417311,474,23666696,420,21703089,27,-112301,469,859350,493,747049,0,0,21,19833.06,14,378.76,643,176179.73,2550,1826,1426001,177,53331.2,153,51400.09
1801,Non Taxable,VIC,3205,1442,1350,15461155,334,421686.32,12,13342.92,0,0,0,0,0,0,2,2357.67,714,7923045,631,973345,94,394151,6,23240,7,9208,155,1145071,121,1415392,12,100957,14,261614,818,1165658,131,80980,299,1434115,299,610127,1371,18848293,43,88222,40,39656,109,23635,22,118493,162,131038,230,401044,13,6892,18,182313,29,43645,178,953309,329,420608,583,2409296,17,306856,5,96280,25,122067,5,19071,156,666236,76,63397.55,22,160530,1,4369,36,508346,92,1101553,0,0,120,2318219,114,3579657,103,987787,89,410066,81,166370.52,187,4204286,116,1764219,70,259951,186,2348774,106,819337,82,-987995,188,-168658,16,47913,20,233675,17,329771,26,69687,10,208887,185,14417938,193,14626825,173,13365166,12,46061,193,408952,203,455013,0,0,5,9736.27,3,237.99,196,55639.87,748,561,445361,71,21418.8,47,16767.46
1802,Non Taxable,VIC,3206,1372,1311,15987141,337,615840.77,9,12870.12,0,0,0,0,0,0,1,3026.52,540,6008046,447,709248,78,409140,1,7044,0,0,103,749332,156,1685359,9,76877,31,400223,837,1498560,189,82797,456,1480165,455,629679,1327,18783020,33,65983,19,24760,87,18352,16,11478,138,130857,187,251430,15,3244,30,39575,50,177656,225,994383,389,251258,608,2272625,10,237930,2,11156,35,347539,8,-136027,278,1819447,129,267553.81,17,48505,0,0,29,729404,113,773009,0,0,165,1937394,168,6214149,152,1764088,127,1278654,104,296148.02,226,5525945,130,2034211,109,337184,227,2841621,143,1286693,86,-973764,229,312929,27,117803,12,96054,17,416450,28,124548,8,2155289,160,8002824,168,10158113,152,9491208,8,-16286,171,99068,179,82782,0,0,9,11085.96,1,31.14,196,57920.42,932,707,646033,57,22831.57,79,42961.6
1803,Non Taxable,VIC,3207,2004,1924,23592568,540,714961.8,12,18663.76,1,1806.96,0,0,0,0,2,7083.45,892,10097965,748,1183452,155,744738,9,40458,15,49642,181,1429443,216,2377841,20,245986,35,450099,1209,2118481,229,135934,555,1838944,554,784784,1940,26836619,64,95214,38,69193,141,27542,14,47679,258,304100,337,543728,28,10543,45,428648,48,242804,299,487058,557,316416,892,2724661,20,369788,4,36333,51,598762,5,-102059,357,2607508,174,258617.05,32,188441,3,65079,40,347243,160,773061,0,0,211,5647474,171,8252121,202,1644071,172,770562,160,282754.98,322,7156315,220,3206279,133,546113,320,3447202,191,1591948,135,-1635227,326,-43279,40,255342,17,29015,21,375187,35,292172,14,194434,256,39858902,269,40053336,250,38960352,14,-51450,267,608151,280,556701,0,0,12,26789.75,8,303.01,324,88565.31,1244,980,824096,120,41263.52,101,37312.3
1804,Non Taxable,VIC,3211,173,169,1648563,40,49312.99,0,0,0,0,0,0,0,0,0,0,87,983550,69,87845,14,98089,2,19797,0,0,18,152533,16,156900,1,4012,2,11539,97,548928,20,5588,57,98924,57,41070,171,4350677,8,7842,4,3995,30,7169,1,1450,36,16541,48,36997,1,233,4,860,2,612,27,10746,42,18390,79,2658667,2,53012,0,0,5,34403,12,1329530,23,574612,6,18093.29,0,0,1,15204,4,29518,7,16018,0,0,7,35880,10,77344,3,104,2,31,1,1.93,28,481534,23,142308,5,12185,25,193456,15,173019,14,-39434,30,133585,2,22850,2,17502,0,0,1,2590829,7,1203656,16,530122,23,1733778,24,1760910,7,-152277,17,133991,24,-18286,0,0,0,0,1,11.95,26,5751.18,66,57,42443,2,486.06,2,628.25
1805,Non Taxable,VIC,3212,2014,1955,24423083,497,517096.75,3,4090.7,1,1262.73,0,0,0,0,0,0,1127,13230539,1012,1147169.8,226,323552,7,38939,14,62602,233,1714903,300,3201589,14,119962,19,252100,1019,1019091,194,91009,522,932347,522,397608,1972,25559356,122,201364,29,31058,364,88131,23,33143,396,176215,550,529911,16,8522,14,20721,28,19673,246,73356,408,78858,853,829379,34,737528,12,219462,36,99154,13,51767,205,1207583,77,49214.9,26,225899,0,0,28,292555,93,315094,0,0,111,691594,91,1425374,97,438084,71,53864,66,55870.52,197,2420560,130,1020029,81,141473,199,1198290,94,610487,104,-549719,200,60768,24,87818,8,7591,4,36710,13,58178,13,309536,194,9984455,206,10293991,193,9269416,15,-246511,199,991518,213,745007,0,0,6,11710.28,6,246.25,297,80044.86,908,717,514305,54,18473.29,42,10960.08
1806,Non Taxable,VIC,3213,448,430,4838997,102,71616.19,1,636.86,0,0,0,0,0,0,0,0,253,2842769,214,208760,42,46088,1,10834,1,2560,60,481288,41,480043,6,68845,4,97282,236,173535,29,6480,82,159747,81,67521,434,5150454,20,31336,2,453,77,16028,7,13998,75,34484,111,96299,3,775,5,410,1,409,46,6617,59,12001,171,173326,2,28956,0,0,12,82512,5,28903,50,276535,10,4640.69,2,41008,1,5,5,43713,12,35019,0,0,14,64700,23,716561,13,81246,7,35776,7,3972.3,54,907247,38,392818,25,70083,55,407191,26,196351,29,-159196,55,37155,2,5299,1,169,4,40059,6,16756,5,57651,35,2848883,40,2906534,42,2759305,6,-46651,36,193828,42,147177,0,0,3,5390.7,1,38.17,75,18749.55,217,151,104698,15,8048.57,11,1814.5
1807,Non Taxable,VIC,3214,2594,2540,35215885,797,668645.74,0,0,0,0,0,0,0,0,0,0,1598,16501761,1403,1530930,255,244583,21,36942,39,58214,823,6992679,522,7029864,18,81622,27,411741,905,538834,115,8216,345,430098,345,184236,2545,36206667,151,250826,42,18865,526,117185,26,44523,421,163052,693,594451,8,1459,9,1347,2,495,252,47549,531,132621,1013,918224,23,443143,9,127569,33,73004,3,37567,116,763274,47,33009.49,45,202187,0,0,29,149370,39,158193,0,0,47,361014,35,1372165,46,95275,38,29197,38,3881.94,104,1233785,76,491747,29,73708,107,566256,63,291966,45,-189892,108,102074,26,68057,5,11221,2,32400,16,100801,5,86898,222,5903290,227,5990188,215,4422052,6,5676,223,1420580,229,1426256,0,0,11,10379.15,3,191.23,358,89792.85,534,420,251371,53,21121.56,22,3570.36
1808,Non Taxable,VIC,3215,2769,2692,34711176,778,648931.45,0,0,0,0,0,0,0,0,0,0,1447,15972406,1280,1444860.64,246,326584,10,47769,23,39518,464,3487739,499,6044021,19,109075,39,526375,1422,1565315,273,128680,704,1420255,704,605654,2706,36243647,154,258669,40,20221,442,101593,25,34937,404,193204,640,608624,15,5593,24,24455,26,47283,356,158090,574,139256,1104,1122204,29,647418,10,215891,52,322600,16,-108585,315,1776398,139,102284.13,31,273131,2,17339,41,295819,121,289880,0,0,147,1340494,120,2238489,158,296847,126,70027,114,7538.64,252,3849278,121,1174505,84,191125,253,1751534,180,1268724,76,-536610,256,732114,28,115980,23,32405,9,81500,28,53677,13,416879,268,11082841,280,11499720,262,9573269,14,-108923,275,1896711,287,1787788,0,0,13,15960.24,6,220.78,409,108317.06,1207,946,745990,86,34551.7,37,13436.94
